from,to,distance
120023,406101,1262.2
406101,120023,1262.2
120023,406121,1262.2
406121,120023,1262.2
120023,701021,2098.0
701021,120023,2098.0
120023,701051,2090.9
701051,120023,2090.9
120023,701052,2090.9
701052,120023,2090.9
120023,701111,2105.9
701111,120023,2105.9
120023,701112,2105.9
701112,120023,2105.9
120023,701113,2105.9
701113,120023,2105.9
120023,701121,2105.9
701121,120023,2105.9
120023,702011,1820.2
702011,120023,1820.2
120023,702031,1820.2
702031,120023,1820.2
120023,702041,1857.8
702041,120023,1857.8
120023,702051,1857.8
702051,120023,1857.8
120023,702052,1857.8
702052,120023,1857.8
120023,702111,1839.1
702111,120023,1839.1
120023,702112,1839.1
702112,120023,1839.1
120023,702121,1839.1
702121,120023,1839.1
120023,703021,2090.3
703021,120023,2090.3
120023,703022,2090.3
703022,120023,2090.3
120023,703031,2090.3
703031,120023,2090.3
120023,703051,2170.5
703051,120023,2170.5
120023,703052,2170.5
703052,120023,2170.5
120023,703081,2111.5
703081,120023,2111.5
120023,703082,2111.5
703082,120023,2111.5
120023,703091,2111.5
703091,120023,2111.5
120023,703111,2046.7
703111,120023,2046.7
120023,703112,2046.7
703112,120023,2046.7
120023,709011,1921.6
709011,120023,1921.6
120023,709021,1921.6
709021,120023,1921.6
120023,709051,1921.6
709051,120023,1921.6
120023,709052,1921.6
709052,120023,1921.6
120023,709061,1921.6
709061,120023,1921.6
120023,709081,1938.5
709081,120023,1938.5
120023,709082,1938.5
709082,120023,1938.5
120023,709083,1938.5
709083,120023,1938.5
120023,709101,1938.5
709101,120023,1938.5
120023,709111,1938.5
709111,120023,1938.5
120023,709112,1938.5
709112,120023,1938.5
120023,709121,1938.5
709121,120023,1938.5
120023,709651,1921.6
709651,120023,1921.6
120023,709652,1921.6
709652,120023,1921.6
120023,709661,1921.6
709661,120023,1921.6
120023,709711,1938.5
709711,120023,1938.5
120023,709712,1938.5
709712,120023,1938.5
120023,711021,1780.4
711021,120023,1780.4
120023,711022,1780.4
711022,120023,1780.4
120023,711051,1923.0
711051,120023,1923.0
120023,711052,1923.0
711052,120023,1923.0
120023,711053,1923.0
711053,120023,1923.0
120023,711081,1805.2
711081,120023,1805.2
120023,711082,1805.2
711082,120023,1805.2
120023,711111,1900.4
711111,120023,1900.4
120023,711112,1900.4
711112,120023,1900.4
120023,711113,1900.4
711113,120023,1900.4
120023,711181,1928.4
711181,120023,1928.4
120023,711182,1928.4
711182,120023,1928.4
120023,711191,1900.4
711191,120023,1900.4
120023,711651,1780.4
711651,120023,1780.4
120023,711652,1780.4
711652,120023,1780.4
120023,711653,1780.4
711653,120023,1780.4
120023,711661,1780.4
711661,120023,1780.4
120023,711681,1938.7
711681,120023,1938.7
120023,711682,1938.7
711682,120023,1938.7
120023,711711,1805.2
711711,120023,1805.2
120023,711712,1805.2
711712,120023,1805.2
120023,711713,1805.2
711713,120023,1805.2
120023,711721,1805.2
711721,120023,1805.2
120023,711751,1862.7
711751,120023,1862.7
120023,711752,1862.7
711752,120023,1862.7
120023,711753,1862.7
711753,120023,1862.7
120023,711754,1862.7
711754,120023,1862.7
120023,711801,1907.0
711801,120023,1907.0
120023,711811,1907.0
711811,120023,1907.0
120023,711812,1907.0
711812,120023,1907.0
120051,120051,0.0
120051,120081,57.5
120081,120051,57.5
120051,120111,27.4
120111,120051,27.4
120051,120112,27.4
120112,120051,27.4
120051,120113,27.4
120113,120051,27.4
120051,134021,692.4
134021,120051,692.4
120051,134031,692.4
134031,120051,692.4
120051,134041,674.9
134041,120051,674.9
120051,134051,674.9
134051,120051,674.9
120051,134081,674.9
134081,120051,674.9
120051,134111,692.4
134111,120051,692.4
120051,134112,692.4
134112,120051,692.4
120051,140031,1210.7
140031,120051,1210.7
120051,140041,1195.2
140041,120051,1195.2
120051,140051,1195.2
140051,120051,1195.2
120051,140111,1228.2
140111,120051,1228.2
120051,140121,1228.2
140121,120051,1228.2
120051,159051,1897.4
159051,120051,1897.4
120051,159052,1897.4
159052,120051,1897.4
120051,159082,1897.4
159082,120051,1897.4
120051,159111,1943.1
159111,120051,1943.1
120051,159112,1943.1
159112,120051,1943.1
